"Tijdstempel","Welke sexe ben je?
(Which sex are you?)","Welk niveau opleiding doe je?
(What level of study are you doing?)","In welk jaar zit je?
(In what year are you?)","In welk vakgebied studeer je?
(What field do you study in?)","Wat is jouw huidige woonsituatie?
(What is your current living situation?)","In welke stad studeer je?
(In which city do you study?)","Ben je een nationale- of internationale student?
(Are you a national or international student?)","Ben je gelovig?
(do you believe in a religion?)","Heb je op dit moment een relatie?
(Are you currently in a relationship?)","Hoe gelukkig voel je je nu? 
(How happy are you right now?)","Ben je gelukkig met je fysieke gesteldheid?
(Are you happy with your physical health?)","Hoe belangrijk is je (fysieke-) gezondheid voor je geluk? 
(How important is your physical health for your happiness?)","Hoe belangrijk is contact buiten school met andere voor jouw geluk? 
(How important is contact with people outside of school for you?)","Ik vind het belangrijk om buitenschool sociale activiteiten te doen. 
(I find it important to do social activity's outside of school.)","Ik heb een goede relatie met mijn ouders. 
(I have a good relationship with my parents.)","Ik ben gelukkig met mijn woonsituatie. 
(I am happy with my living situation.)","Ik voel me thuis in de stad waar ik woon. 
(I feel at home in the city where I live.)","Mijn academische prestaties hebben veel invloed op hoe gelukkig ik ben. 
(My academic achievements have a lot of influence on my happiness.)","Ik zit in een goede financiële situatie. 
(I am in a good financial situation.)","Geld is belangrijk voor mij om gelukkig te zijn.
(Money is important for me to be happy.)","Ik gebruik (verdovende-) middelen, Zoals wiet, alcohol of anders. 
(I use alcohol and/or drugs like weed.)","Deze middelen gebruik ik om mijzelf gelukkiger te maken. 
(I use the drugs/ alcohol to make me happier.)","Ik zit lekker in mijn vel. 
(I feel good mentally.)","Hoe gelukkig ben jij na deze enquête? 
(How do happy qre you after this questionaire?)"
"2024/04/30 12:31:07 a.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","7","6","8","8","3","4","7","9","2","9","Ja (Yes)","6","4","5"
"2024/04/30 11:21:58 a.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","9","8","7","7","6","7","7","10","8","8","Ja (Yes)","6","5","5"
"2024/05/01 2:50:46 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Ja (Yes)","3","7","8","6","4","3","6","4","3","9","6","Ja (Yes)","7","5","4"
"2024/05/01 7:00:36 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Technisch (Technical)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","8","6","7","6","9","9","7","6","7","7","Nee (No)","0","8","8"
"2024/05/02 7:29:13 p.m. EEST","Man (Male)","HBO","1e (1st)","Technisch (Technical)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","3","9","8","6","5","5","8","8","9","6","Nee (No)","0","4","6"
"2024/05/14 4:50:22 p.m. EEST","Vrouw (Female)","MBO","1e (1st)","Anders (Other)","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Nee (No)","7","3","10","10","10","8","6","10","7","9","7","Nee (No)","0","8","7"
"2024/05/14 7:14:41 p.m. EEST","Vrouw (Female)","MBO","1e (1st)","Anders (Other)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","8","9","9","8","8","9","10","5","6","8","Nee (No)","3","6","7"
"2024/05/15 12:53:50 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","3","8","8","6","3","6","3","3","7","4","4","Ja (Yes)","8","4","3"
"2024/05/15 1:37:52 p.m. EEST","Vrouw (Female)","Universiteit (University) Bachelor","3e (3rd)","Anders (Other)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","7","5","9","10","10","7","8","9","9","8","Ja (Yes)","6","9","8"
"2024/05/15 2:16:32 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Sociaal (Social)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","9","9","9","9","6","10","10","7","4","6","Ja (Yes)","4","6","10"
"2024/05/15 2:18:43 p.m. EEST","Man (Male)","Universiteit (University) Bachelor","1e (1st)","Economisch (Economical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","8","10","9","10","8","7","8","8","10","7","Ja (Yes)","2","7","5"
"2024/05/15 2:20:02 p.m. EEST","Vrouw (Female)","Masters","2e (2nd)","Sociaal (Social)","Uitwonend (Away from home)","Groningen","Internationaal (International)","Nee (No)","Ja (Yes)","5","8","7","8","9","6","2","7","6","7","6","Nee (No)","0","7","7"
"2024/05/15 2:20:20 p.m. EEST","Vrouw (Female)","Universiteit (University) Bachelor","3e (3rd)","Economisch (Economical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","8","6","8","9","9","8","9","8","6","8","7","Nee (No)","0","7","8"
"2024/05/15 2:34:24 p.m. EEST","Vrouw (Female)","Universiteit (University) Bachelor","2e (2nd)","Anders (Other)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","5","7","9","8","7","7","6","7","6","4","Nee (No)","2","4","5"
"2024/05/15 2:40:17 p.m. EEST","Anders (Other)","MBO","1e (1st)","Kunst (Art)","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Nee (No)","3","3","7","10","10","5","2","5","5","5","5","Ja (Yes)","10","0","0"
"2024/05/15 2:55:07 p.m. EEST","Man (Male)","Masters","1e (1st)","Technisch (Technical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","9","8","8","10","9","10","10","10","8","9","9","Ja (Yes)","4","8","9"
"2024/05/15 3:12:16 p.m. EEST","Man (Male)","Masters","3e (3rd)","Sociaal (Social)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","9","8","7","9","10","4","8","9","4","9","7","Ja (Yes)","1","9","9"
"2024/05/15 3:17:14 p.m. EEST","Man (Male)","HBO","1e (1st)","Economisch (Economical)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","4","8","8","5","7","6","6","7","6","8","Ja (Yes)","0","3","3"
"2024/05/15 3:26:17 p.m. EEST","Man (Male)","HBO","1e (1st)","Anders (Other)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","5","7","9","8","9","8","8","6","2","5","Ja (Yes)","4","6","6"
"2024/05/15 3:30:16 p.m. EEST","Vrouw (Female)","Universiteit (University) Bachelor","3e (3rd)","Sociaal (Social)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","7","5","8","7","9","6","8","4","6","4","Ja (Yes)","5","7","7"
"2024/05/15 3:53:50 p.m. EEST","Man (Male)","Universiteit (University) Bachelor","3e (3rd)","Technisch (Technical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","10","10","10","7","5","10","10","8","6","10","8","Nee (No)","0","10","10"
"2024/05/15 4:00:12 p.m. EEST","Vrouw (Female)","MBO","2e (2nd)","Anders (Other)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","4","8","9","8","6","7","6","7","7","4","Nee (No)","0","6","6"
"2024/05/15 4:15:36 p.m. EEST","Anders (Other)","MBO","2e (2nd)","Kunst (Art)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","5","6","8","8","9","8","4","3","6","4","Nee (No)","0","6","7"
"2024/05/15 5:35:07 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Technisch (Technical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","9","7","7","8","9","10","10","10","10","6","8","Ja (Yes)","2","8","8"
"2024/05/15 6:23:58 p.m. EEST","Man (Male)","HBO","2e (2nd)","Technisch (Technical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","4","4","8","7","7","9","7","7","8","5","7","Ja (Yes)","3","4","5"
"2024/05/15 6:37:02 p.m. EEST","Vrouw (Female)","Masters","1e (1st)","Sociaal (Social)","Uitwonend (Away from home)","Groningen","Internationaal (International)","Nee (No)","Nee (No)","8","8","10","10","10","7","9","9","7","7","5","Ja (Yes)","0","8","8"
"2024/05/16 9:09:59 a.m. EEST","Vrouw (Female)","Universiteit (University) Bachelor","1e (1st)","Anders (Other)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","10","10","8","10","10","10","7","5","4","8","8","Ja (Yes)","6","9","8"
"2024/05/16 4:29:37 p.m. EEST","Vrouw (Female)","HBO","3e (3rd)","Anders (Other)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","3","9","10","10","7","4","9","5","5","7","Ja (Yes)","6","4","5"
"2024/05/18 6:12:51 p.m. EEST","Man (Male)","Masters","1e (1st)","Technisch (Technical)","Uitwonend (Away from home)","Amsterdam","Nationaal (National)","Nee (No)","Nee (No)","8","7","9","9","9","8","8","10","7","8","6","Ja (Yes)","6","8","8"
"2024/05/22 1:00:45 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","6","10","6","6","10","0","6","7","6","6","Ja (Yes)","2","6","5"
"2024/05/22 3:38:20 p.m. EEST","Man (Male)","Masters","1e (1st)","Anders (Other)","Uitwonend (Away from home)","Leiden","Nationaal (National)","Nee (No)","Nee (No)","8","7","6","9","8","8","7","8","4","7","6","Ja (Yes)","5","7","8"
"2024/05/22 5:23:39 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","8","9","9","7","7","7","6","7","9","8","9","Ja (Yes)","4","7","7"
"2024/05/24 5:56:59 p.m. EEST","Man (Male)","Universiteit (University) Bachelor","3e (3rd)","Technisch (Technical)","Thuiswonend (At home)","Amsterdam","Nationaal (National)","Nee (No)","Nee (No)","9","10","8","7","7","10","8","10","9","9","5","Ja (Yes)","2","10","9"
"2024/05/28 5:52:47 p.m. EEST","Man (Male)","HBO","2e (2nd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","5","7","8","4","7","8","8","7","8","6","Nee (No)","0","5","6"
"2024/05/28 5:53:24 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","4","2","8","8","4","7","10","3","6","2","Ja (Yes)","8","5","6"
"2024/05/28 5:53:25 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","7","9","9","8","7","7","8","8","9","7","Ja (Yes)","7","7","8"
"2024/05/28 5:54:32 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","8","8","8","8","8","8","8","7","7","7","6","Ja (Yes)","2","8","5"
"2024/05/28 5:57:02 p.m. EEST","Man (Male)","HBO","2e (2nd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","0","8","8","6","0","5","0","0","10","0","10","Ja (Yes)","0","4","5"
"2024/05/28 5:59:10 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Ja (Yes)","8","6","7","8","9","10","10","10","8","8","7","Ja (Yes)","1","8","7"
"2024/05/28 5:59:28 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","7","8","8","7","10","5","8","9","5","7","Ja (Yes)","1","6","7"
"2024/05/28 6:02:56 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Ja (Yes)","Ja (Yes)","8","5","10","8","8","10","10","9","9","3","7","Nee (No)","0","6","6"
"2024/05/28 6:04:04 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","8","6","8","8","7","9","9","9","9","9","7","Nee (No)","0","8","8"
"2024/05/28 6:04:35 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","5","8","8","6","6","8","8","6","7","7","Nee (No)","1","5","4"
"2024/05/28 6:07:23 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","7","9","9","7","9","8","6","7","8","6","Nee (No)","2","7","7"
"2024/05/28 6:16:21 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","7","6","9","9","7","8","10","4","3","6","Ja (Yes)","2","7","7"
"2024/05/28 6:31:18 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","7","4","6","7","8","6","7","9","4","6","5","Ja (Yes)","2","8","0"
"2024/05/28 6:36:50 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Nee (No)","7","6","9","6","10","9","9","10","6","7","4","Nee (No)","0","5","8"
"2024/05/28 6:37:07 p.m. EEST","Vrouw (Female)","HBO","3e (3rd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Ja (Yes)","6","8","8","10","10","8","8","8","7","9","5","Ja (Yes)","0","6","6"
"2024/05/28 6:54:35 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","5","10","7","7","8","6","5","8","7","6","Nee (No)","0","9","7"
"2024/05/28 7:00:51 p.m. EEST","Vrouw (Female)","HBO","3e (3rd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","7","8","9","10","4","10","6","3","8","6","6","Nee (No)","0","7","7"
"2024/05/28 7:01:10 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","6","8","5","4","5","8","6","5","7","9","Ja (Yes)","3","7","5"
"2024/05/28 7:06:10 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","4","7","7","10","8","8","8","6","7","7","Ja (Yes)","0","5","6"
"2024/05/28 7:38:46 p.m. EEST","Man (Male)","HBO","2e (2nd)","Technisch (Technical)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","4","3","7","7","7","5","5","4","4","6","7","Ja (Yes)","0","6","2"
"2024/05/28 8:03:30 p.m. EEST","Man (Male)","HBO","3e (3rd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","8","9","9","9","10","10","7","10","3","8","7","Ja (Yes)","0","10","8"
"2024/05/28 8:04:30 p.m. EEST","Vrouw (Female)","HBO","3e (3rd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","6","9","7","7","5","8","10","10","3","8","Ja (Yes)","0","7","6"
"2024/05/28 8:10:00 p.m. EEST","Man (Male)","HBO","3e (3rd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","7","7","9","7","9","7","7","10","7","4","6","Nee (No)","0","8","7"
"2024/05/28 8:23:36 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","4","2","8","5","3","6","8","7","7","5","Ja (Yes)","0","6","7"
"2024/05/28 8:32:01 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","8","6","6","7","8","9","10","10","8","10","6","Ja (Yes)","0","8","8"
"2024/05/28 8:49:24 p.m. EEST","Vrouw (Female)","Masters","2e (2nd)","Anders (Other)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","3","8","9","9","6","8","9","9","9","7","Ja (Yes)","0","1","6"
"2024/05/28 9:17:07 p.m. EEST","Man (Male)","HBO","3e (3rd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Nee (No)","8","9","7","9","9","5","4","8","5","9","6","Nee (No)","5","8","5"
"2024/05/28 9:29:26 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","5","4","7","7","7","7","6","7","9","4","7","Nee (No)","0","4","4"
"2024/05/28 10:39:09 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","4","8","7","9","4","5","7","9","7","6","Nee (No)","0","3","5"
"2024/05/29 1:52:34 a.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","6","10","10","10","9","9","10","10","5","7","Ja (Yes)","5","6","6"
"2024/05/29 12:08:40 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","6","9","8","8","8","7","8","7","6","6","Ja (Yes)","1","5","5"
"2024/05/29 1:24:56 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","8","8","8","8","8","8","6","0","6","6","4","Nee (No)","0","8","7"
"2024/05/29 1:29:16 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","5","3","3","7","7","6","6","8","8","8","Ja (Yes)","0","6","6"
"2024/05/29 1:59:34 p.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","4","6","6","9","8","9","9","9","6","4","8","Nee (No)","0","4","6"
"2024/05/29 2:26:20 p.m. EEST","Man (Male)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","7","8","9","9","6","4","4","6","8","5","7","Ja (Yes)","5","5","4"
"2024/05/29 2:43:26 p.m. EEST","Man (Male)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","5","5","8","8","9","8","7","6","8","6","Ja (Yes)","1","8","7"
"2024/05/29 3:42:02 p.m. EEST","Man (Male)","HBO","2e (2nd)","Lifesciences","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","8","7","9","9","5","7","10","7","7","6","Ja (Yes)","5","7","6"
"2024/05/29 4:08:56 p.m. EEST","Anders (Other)","Masters","2e (2nd)","Economisch (Economical)","Uitwonend (Away from home)","Amsterdam","Nationaal (National)","Ja (Yes)","Ja (Yes)","3","5","4","8","9","0","6","7","10","7","8","Ja (Yes)","7","6","7"
"2024/05/29 5:03:32 p.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Nee (No)","6","5","8","8","7","6","5","7","9","6","7","Nee (No)","0","5","6"
"2024/05/29 10:22:07 p.m. EEST","Vrouw (Female)","HBO","3e (3rd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","2","4","7","7","6","6","6","5","8","5","8","Ja (Yes)","6","2","2"
"2024/05/30 10:00:58 a.m. EEST","Man (Male)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","8","5","3","7","7","10","10","10","8","10","3","Ja (Yes)","1","8","8"
"2024/05/30 11:45:48 a.m. EEST","Vrouw (Female)","HBO","2e (2nd)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","2","9","9","9","6","3","8","6","0","7","Nee (No)","0","4","3"
"2024/05/30 1:03:18 p.m. EEST","Man (Male)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Ja (Yes)","8","7","8","7","7","9","8","7","5","8","6","Nee (No)","0","7","5"
"2024/05/30 1:28:50 p.m. EEST","Man (Male)","Masters","2e (2nd)","Technisch (Technical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","8","7","8","8","9","10","7","10","7","6","8","Ja (Yes)","4","9","8"
"2024/06/03 2:14:22 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","8","9","8","5","2","10","8","9","9","10","5","Nee (No)","0","10","9"
"2024/06/03 3:19:34 p.m. EEST","Vrouw (Female)","Universiteit (University) Bachelor","3e (3rd)","Anders (Other)","Uitwonend (Away from home)","Leiden","Nationaal (National)","Nee (No)","Ja (Yes)","6","4","8","8","8","10","10","10","8","5","9","Ja (Yes)","1","6","5"
"2024/06/05 9:30:29 a.m. EEST","Vrouw (Female)","HBO","3e (3rd)","Anders (Other)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Ja (Yes)","Nee (No)","8","6","6","9","10","10","9","9","5","8","9","Ja (Yes)","5","8","8"
"2024/06/05 11:32:00 a.m. EEST","Man (Male)","Masters","1e (1st)","Economisch (Economical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","5","7","8","9","8","8","9","7","9","8","Ja (Yes)","7","7","6"
"2024/06/05 11:38:37 p.m. EEST","Man (Male)","HBO","2e (2nd)","Technisch (Technical)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","9","7","8","9","8","9","10","10","8","7","9","Ja (Yes)","6","9","8"
"2024/06/10 9:54:46 p.m. EEST","Man (Male)","Universiteit (University) Bachelor","2e (2nd)","Technisch (Technical)","Uitwonend (Away from home)","Amsterdam","Nationaal (National)","Nee (No)","Nee (No)","7","9","8","6","7","6","5","8","6","10","5","Nee (No)","0","8","8"